"name","phone","principal_contact","url","address","accreditation"
"Progressive Medical Billing","+12107331802","Ms. Leticia A. Cantu, Owner","https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942","6655 First Park Ten Blvd Ste 216, San Antonio, TX 78213-4304","Accredited"
"Centerline Medical Billing","+18008285133","Mr. Patrick Mahoney, Owner","https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438","Aliso Viejo, CA 92653-4642","Accredited"
"Specialized Medical Billing","+16144618154","Mrs. Adrianne H. Nittala, Co-Owner","https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304","330 E Wilson Bridge Rd Ste 100, Worthington, OH 43085-6310","Accredited"
"Blitz Medical Billing","+18553298220","Ms. Lilian Garcia, CEO","https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873","1701 Legacy Dr Ste 1200, Frisco, TX 75034-5991","Accredited"
"PC Medical Billing LLC","+13605398487","Mr. Patrick O'Neil, Managing Member","https://www.bbb.org/us/wa/olympia/profile/medical-billing/pc-medical-billing-llc-1296-1000097169","Olympia, WA 98516-5969","Accredited"
"Billing Partners Solution","+16026750161","Ms. Ruth M Gonzalez, Owner","https://www.bbb.org/us/az/phoenix/profile/medical-billing/billing-partners-solution-1126-1000047551","5224 N 40th Dr, Phoenix, AZ 85019-2436","Accredited"
"Easy Billing Services","+16192462695","Ms. Danielle Gonzales, Owner","https://www.bbb.org/us/ca/san-diego/profile/billing-services/easy-billing-services-1126-1000113485","1641 Burton St, San Diego, CA 92111-7526","Accredited"
"Orange Sterling Billing","+14808435143","Mrs. Lauren Rundall, Owner","https://www.bbb.org/us/az/phoenix/profile/billing-services/orange-sterling-billing-1126-1000110820","10000 N 31st Ave Ste D214
Phoenix, AZ 85051-2001","Accredited"
"Medical Claims & Billing Specialist","+18319013801","Ms. Diana Rosa, Co-Owner","https://www.bbb.org/us/ca/del-rey-oaks/profile/medical-billing/medical-claims-billing-specialist-1216-231036","203C Calle Del Oaks, Del Rey Oaks, CA 93940-5710","Accredited"
"Young's Billing & Consulting","+17164082525","Mr. Daniel J. Young, President/CEO","https://www.bbb.org/us/ny/williamsville/profile/billing-services/youngs-billing-consulting-0041-235964412","Williamsville, NY 14221-2609","Accredited"
"American Medical Billing Association (AMBA)","+15803692700","Mrs. Katie Taylor, Owner","https://www.bbb.org/us/ok/davis/profile/billing-services/american-medical-billing-association-amba-0995-5002597","2465 E Main St, Davis, OK 73030-2979","Accredited"
"Certified Healthcare Billing","+16267919004","Julia Tashchyan, CEO","https://www.bbb.org/us/ca/sunland/profile/medical-billing/certified-healthcare-billing-1216-640510","8055 Foothill Blvd, Sunland, CA 91040-2943","Accredited"
"ELS Medical Billing Group LLC","+18889277894","Ms. Ericia L. Smith, CEO","https://www.bbb.org/us/ga/lagrange/profile/medical-billing/els-medical-billing-group-llc-0743-91820311","Lagrange, GA 30240-1158","Accredited"
"Momentum Billing","+18668756527","","https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754","13400 Sabre Springs Pkwy #150, San Diego, CA 92128","Not Accredited"
"Matrix Medical Billing","+18888343477","Mr. Christian Burris, Member","https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964","2135 E. University Drive #120
Mesa, AZ 85213-8337","Not Accredited"
"Compass Billing","+13037131300","Ms. Ellen E. Stewart, Registered Agent, Mr. Clayton Fast, President","https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804","5350 Dtc Pkwy, Greenwood Village, CO 80111","Not Accredited"
"Medical Billing Partners","+14024135394","Taylor Santos, Owner","https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239","Lincoln, NE 68505-0201","Not Accredited"
"Springs Medical Billing","+17194008222","Mrs. Christina Boyce, Owner","https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54148","Po Box 64258
Colorado Springs, CO 80962","Not Accredited"
"Veracity Medical Billing","+13175203555","Ms. Kelly Schaffer Rahe, President","https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119","6400 E Main St Ste 201, Reynoldsburg, OH 43068-2348","Not Accredited"
"Midwest Medical Billing","+16145771077","Ms. Kelly Schaffer Rahe, President","https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119","6400 E Main St Ste 201, Reynoldsburg, OH 43068-2348","Not Accredited"
"Proclaims Medical Billing","+13862745712","Michelle Cavanaugh, President","https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184","785 W Granada Blvd Ste 5
Ormond Beach, FL 32174-5163","Not Accredited"
"Brumett Professional Billing Services","+16236800096","Ms. Rosemary Brumett, Manager","https://www.bbb.org/us/az/surprise/profile/billing-services/brumett-professional-billing-services-1126-1000028587","27177 N 171st Ln, Surprise, AZ 85387-3409","Not Accredited"
"Blue Sky Billing Solutions","+17724290692","Ms. Debbie Drennan, Managing Member","https://www.bbb.org/us/fl/fort-pierce/profile/medical-billing/blue-sky-billing-solutions-0633-90428573","101 N US Highway 1 STE 118, Fort Pierce, FL 34950-4254","Not Accredited"
"D M Billing Service","+16195612969","Ms. Dana Manjarrez, Owner","https://www.bbb.org/us/ca/lakeside/profile/billing-services/d-m-billing-service-1126-30004014","Lakeside, CA 92040","Not Accredited"
"D&S Medical Billing Services Inc","+19493880108","Ms. Shahnaz Lewis, President/Owner","https://www.bbb.org/us/ca/laguna-niguel/profile/medical-billing/ds-medical-billing-services-inc-1126-13105658","PO Box 7526, Laguna Niguel, CA 92607-7526","Not Accredited"
"Administrative Billing Solutions, Inc.","+17153037696","Ms. Kari S. Behlmer, President","https://www.bbb.org/us/wi/eau-claire/profile/billing-services/administrative-billing-solutions-inc-0694-44185137","1226 Archer Ln, Eau Claire, WI 54703-0605","Not Accredited"
"Medical Billing, Etc.","+14023981138","MaryEllen Fisher, Owner","https://www.bbb.org/us/ne/omaha/profile/billing-services/medical-billing-etc-0714-300022690","10567 Hansen Ave
Omaha, NE 68124-3633","Not Accredited"
"A+ Medical Billing","+19493080332","Ms. Abeer Marogi, Founder-CEO","https://www.bbb.org/us/ca/lake-forest/profile/medical-billing/a-medical-billing-1126-1000142295","Lake Forest, CA 92630-3637","Not Accredited"
"Draper Precision Billing & Coding","+19282218961","Mr. Travis Draper, Member","https://www.bbb.org/us/az/flagstaff/profile/medical-coding/draper-precision-billing-coding-1126-1000048355","Flagstaff, AZ 86004-5455","Not Accredited"
"Integrity Billing & Consulting LLC","+15035828188","Ms. Ginette M Zuras-Hummel, Managing Owner","https://www.bbb.org/us/or/wilsonville/profile/medical-business-administration/integrity-billing-consulting-llc-1296-1000048129","8855 SW Holly Ln Ste 125
Wilsonville, OR 97070-8793","Not Accredited"
"Billing Key","+16787565284","Mr. Nicholas Hawkins, Owner","https://www.bbb.org/us/ga/atlanta/profile/medical-billing/billing-key-0443-27966156","2221 Peachtree Rd NE STE D-397
Atlanta, GA 30309-1148","Not Accredited"
"Billing Dynamix","+17273869497","Mr. Thomas Jorno","https://www.bbb.org/us/fl/clearwater/profile/medical-billing/billing-dynamix-0653-90344528","2857 Executive Dr STE 200, Clearwater, FL 33762-5584","Not Accredited"
