name,phone,principal_contact,url,address,accreditation
Progressive Medical Billing,+12107331802,"Ms. Leticia A. Cantu, Owner",https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942,"6655 First Park Ten Blvd Ste 216 San Antonio, TX 78213-4304",Accredited
Momentum Billing,+18668756527,,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754,"13400 Sabre Springs Pkwy #150 San Diego, CA 92128",Not Accredited
Centerline Medical Billing,+18008285133,"Mr. Patrick Mahoney, Owner",https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438,"Aliso Viejo, CA 92653-4642",Accredited
Compass Billing,+13037131300,"Ms. Ellen E. Stewart, Registered Agent",https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804,"5350 Dtc Pkwy Ste 304 Greenwood Village, CO 80111",Not Accredited
Matrix Medical Billing,+18888343477,"Mr. Christian Burris, Member",https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964,"2135 E. University Drive #120 Mesa, AZ 85213-8337",Not Accredited
Medical Billing Partners,+14024135394,"Taylor Santos, Owner",https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239,"Lincoln, NE 68505-0201",Not Accredited
Springs Medical Billing,+17194008222,"Mrs. Christina Boyce, Owner",https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54148,"Po Box 64258 Colorado Springs, CO 80962",Not Accredited
Veracity Medical Billing,+13175203555,"Sharon Gall, President",https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513,"220 South Elm Street Zionsville, IN 46077",Not Accredited
Midwest Medical Billing,+16145771077,"Ms. Kelly Schaffer Rahe, President",https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119,"6400 E Main St Ste 201 Reynoldsburg, OH 43068-2348",Not Accredited
Specialized Medical Billing,+16144618154,"Mrs. Adrianne H. Nittala, Co-Owner",https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304,"330 E Wilson Bridge Rd Ste 100 Worthington, OH 43085-6310",Accredited
Proclaims Medical Billing,+13862745712,"Michelle Cavanaugh, President",https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184,"785 W Granada Blvd Ste 5 Ormond Beach, FL 32174-5163",Not Accredited
Blitz Medical Billing,+18553298220,"Ms. Lilian Garcia, CEO",https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873,"1701 Legacy Dr Ste 1200 Frisco, TX 75034-5991",Accredited
Medical Billing Center,+18646791600,"Ms. Nicole Kluckhohn, CEO",https://www.bbb.org/us/sc/greenville/profile/medical-billing/medical-billing-center-0673-90039737,"401 Brookfield Pkwy Ste 500A Greenville, SC 29607-5795",Not Accredited
PC Medical Billing LLC,+13605398487,"Mr. Patrick O'Neil, Managing Member",https://www.bbb.org/us/wa/olympia/profile/medical-billing/pc-medical-billing-llc-1296-1000097169,"Olympia, WA 98516-5969",Accredited
Specialty Billing Services,+19147717335,"Ms. Jeannine Raciti, President",https://www.bbb.org/us/ny/yorktown-heights/profile/medical-billing/specialty-billing-services-0121-106473,"2649 Strang Blvd Ste 303 Yorktown Heights, NY 10598-2938",Not Accredited
Orange County Medical Billing,+17148955614,"Ms. Tracy Ann Jonas, Owner",https://www.bbb.org/us/ca/westminster/profile/medical-billing/orange-county-medical-billing-1126-13172913,"8311 Westminster Blvd Ste 340D Westminster, CA 92683-8315",Not Accredited
Diamond Medical Billing Services,+12537777762,"Sunni Hearin, Owner",https://www.bbb.org/us/wa/renton/profile/medical-billing/diamond-medical-billing-services-1296-22719855,"13301 SE 79th Pl # A101 Renton, WA 98059-3265",Not Accredited
LPL Medical Billing Service,+13018318957,"Lachee Lewis, Owner",https://www.bbb.org/us/md/frederick/profile/medical-billing/lpl-medical-billing-service-0011-90205853,"3606 John Simmons Ct Frederick, MD 21704-7815",Not Accredited
Doctors Billing Pros,+16192292124,"Mr. Lamont Wolfe, Owner",https://www.bbb.org/us/ca/san-diego/profile/medical-billing/doctors-billing-pros-1126-172001777,"PO Box 152865 San Diego, CA 92195",Not Accredited
Prescott Medical Billing Services,+19285335060,"Mr. Kenneth Ficek, President/CEO",https://www.bbb.org/us/az/prescott/profile/medical-billing/prescott-medical-billing-services-1126-1000046455,"Prescott, AZ 86303-4132",Not Accredited
Quality Medical Billing Service,+15032531653,"Ms. Kay Holmes, Owner",https://www.bbb.org/us/or/portland/profile/billing-services/quality-medical-billing-service-1296-75004277,"1404 SE 151st Ave Portland, OR 97233-3054",Not Accredited
Valcare Medical Billing Services,+15099722357,"Ms. Carolyn Pierson, Owner",https://www.bbb.org/us/wa/yakima/profile/medical-billing/valcare-medical-billing-services-1296-1000009330,"208 1/2 S 40th Ave Yakima, WA 98908",Not Accredited
DDR Medical Billing & Consultants,+16028887063,"Ms. Donna Suchil, Member",https://www.bbb.org/us/az/phoenix/profile/medical-billing/ddr-medical-billing-consultants-1126-1000047383,"2735 W Sweetwater Ave Phoenix, AZ 85029-1311",Not Accredited
Billing Partners Solution,+16026750161,"Ms. Ruth M Gonzalez, Owner",https://www.bbb.org/us/az/phoenix/profile/medical-billing/billing-partners-solution-1126-1000047551,"5224 N 40th Dr Phoenix, AZ 85019-2436",Accredited
Easy Billing Services,+16192462695,"Ms. Danielle Gonzales, Owner",https://www.bbb.org/us/ca/san-diego/profile/billing-services/easy-billing-services-1126-1000113485,"1641 Burton St San Diego, CA 92111-7526",Accredited
Clinical Billing Solutions,+18885502112,"Mr. Jack Van Berkel, CEO",https://www.bbb.org/us/ca/orange/profile/medical-billing/clinical-billing-solutions-1126-1000126773,"Orange, CA 92868-2051",Not Accredited
Hernandez Healthcare Billing,+19287794404,"Ms. Dorothy Hernandez, Manager",https://www.bbb.org/us/az/bellemont/profile/billing-services/hernandez-healthcare-billing-1126-1000040693,"Bellemont, AZ 86015",Not Accredited
Billing Business Specialists,+15203169405,"Mrs. Jeri E. Theiler, Member",https://www.bbb.org/us/az/arizona-city/profile/medical-billing/billing-business-specialists-1126-1000047834,"PO Box 3121 Arizona City, AZ 85123-0828",Not Accredited
Platinum Medical Billing & Consulting,+16024330305,"Ms. Anna M Whitt, Owner",https://www.bbb.org/us/az/mesa/profile/medical-billing/platinum-medical-billing-consulting-1126-1000085023,"1837 S Mesa Dr Ste B202 Mesa, AZ 85210-6219",Not Accredited
