name,phone,principal_contact,url,address,accreditation
ProgressiveMedicalBilling,+12107331802,,https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942,6655 First Park Ten Blvd Ste 216,Not Accredited
MomentumBilling,+18668756527,,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754,13400 Sabre Springs Pkwy #150,Not Accredited
CenterlineMedicalBilling,+18008285133,,https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438,"Aliso Viejo,CA92653-4642",Not Accredited
CompassBilling,+13037131300,,https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804,5350 Dtc Pkwy,Not Accredited
SpringsMedicalBilling,+17194008222,,https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54148,Po Box 64258,Not Accredited
VeracityMedicalBilling,+13175203555,,https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513,220 South Elm Street,Not Accredited
MidwestMedicalBilling,+16145771077,,https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119,6400 E Main St Ste 201,Not Accredited
MatrixMedicalBilling,+18888343477,,https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964,2135 E. University Drive #120,Not Accredited
MedicalBillingPartners,+14024135394,,https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239,"Lincoln,NE68505-0201",Not Accredited
SpecializedMedicalBilling,+16144618154,,https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304,330 E Wilson Bridge Rd Ste 100,Not Accredited
ProclaimsMedicalBilling,+13862745712,,https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184,785 W Granada Blvd Ste 5,Not Accredited
BlitzMedicalBilling,+18553298220,,https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873,1701 Legacy Dr Ste 1200,Not Accredited
MedicalBillingCenter,+18646791600,,https://www.bbb.org/us/sc/greenville/profile/medical-billing/medical-billing-center-0673-90039737,401 Brookfield Pkwy Ste 500A,Not Accredited
PCMedicalBillingLLC,+13605398487,,https://www.bbb.org/us/wa/olympia/profile/medical-billing/pc-medical-billing-llc-1296-1000097169,"Olympia,WA98516-5969",Not Accredited
SpecialtyBillingServices,+19147717335,,https://www.bbb.org/us/ny/yorktown-heights/profile/medical-billing/specialty-billing-services-0121-106473,2649 Strang Blvd Ste 303,Not Accredited
